movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0079,Mission Dream,Movie,War,,2005,414,TV-G,Hindi,USA,5.9,4204348,24367896,,,FALSE,07-02-2021,FALSE
movie_0080,Day Queen,Movie,Documentary,Documentary,2014,89,TV-Y,English,USA,7.8,5453306,32981493,,,FALSE,26-12-2022,FALSE
movie_0081,Mission Fire,Movie,Documentary,,2023,119,TV-14,Italian,Japan,7.8,22471820,5603722,,,FALSE,05-06-2021,FALSE
movie_0082,Bright Phoenix,Movie,Western,,1995,408,TV-MA,German,South Korea,4.6,8461755,173407724,,,TRUE,14-04-2021,FALSE
movie_0083,Journey Phoenix,Movie,Sci-Fi,,2024,101,TV-Y,English,USA,7,97100,69320180,,,TRUE,14-08-2020,TRUE
movie_0084,Night Phoenix,Movie,Documentary,Crime,1998,114,PG,English,Germany,6.8,,39250966,,,TRUE,08-09-2023,TRUE
movie_0085,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44,TV-Y,Korean,USA,5.7,,,,,FALSE,03-05-2024,TRUE
movie_0086,Big Adventure,Documentary,Biography,Family,1998,68,G,English,UK,0.6,,,,,TRUE,11-07-2024,FALSE
movie_0087,Our Storm,Movie,Comedy,,2010,38,PG-13,Italian,USA,6.6,,,,,FALSE,22-02-2021,TRUE
movie_0088,Journey Love,TV Series,Sport,,1990,63,PG-13,English,Canada,7.2,,,4,79,FALSE,02-03-2023,FALSE
movie_0089,Mystery Day,Movie,Romance,,2014,79,TV-Y7,Hindi,Japan,0.9,44425136,16348642,,,TRUE,07-06-2021,TRUE
movie_0090,Ice Kingdom,Documentary,Animation,Biography,2003,107,TV-PG,English,USA,8.7,,,,,FALSE,24-12-2021,TRUE
movie_0091,Dragon Ice,Documentary,Horror,,1993,79,PG-13,English,Japan,4.7,,,,,TRUE,24-11-2022,FALSE
movie_0092,Story Kingdom,TV Series,War,,1991,35,PG,English,UK,8.8,,,14,62,FALSE,23-04-2024,FALSE
movie_0093,City Queen,Movie,History,Biography,2020,101,R,English,USA,9.7,,41795066,,,TRUE,31-03-2024,FALSE
movie_0094,Dark City,Stand-up Comedy,Western,Western,1993,68,TV-Y7,English,USA,5.3,,,,,FALSE,03-08-2021,FALSE
movie_0095,Legend Storm,TV Series,Fantasy,,2003,32,TV-MA,English,USA,3.6,,,9,76,TRUE,06-05-2025,FALSE
movie_0096,King Fire,Movie,Action,,2018,105,G,English,UK,4.5,8939550,4931077,,,FALSE,22-06-2024,TRUE
movie_0097,Secret War,Movie,Fantasy,,2001,102,TV-Y,Hindi,Canada,3.1,2137471,36710118,,,FALSE,15-05-2021,FALSE
movie_0098,A War,Stand-up Comedy,Adventure,,2001,77,PG-13,English,USA,6.4,,,,,TRUE,27-07-2022,FALSE
movie_0099,Dragon Day,Documentary,Western,,2021,110,PG,English,UK,8.3,,,,,FALSE,06-07-2021,TRUE
movie_0100,Adventure Dream,Movie,Fantasy,,1996,99,TV-G,English,Canada,6,8590064,,,,FALSE,30-07-2024,FALSE
movie_0101,King House,TV Series,Animation,,2008,45,TV-MA,English,South Korea,6.9,,,3,96,FALSE,19-07-2025,FALSE
movie_0102,Fire War,TV Series,Comedy,Sci-Fi,2003,32,TV-14,Italian,South Korea,5.1,,,6,74,FALSE,17-08-2023,TRUE
movie_0103,Family Battle,Stand-up Comedy,Sci-Fi,Action,2017,52,NC-17,Italian,France,8.2,,,,,FALSE,16-04-2024,FALSE
movie_0104,Mystery Mystery,Movie,War,Fantasy,2001,107,TV-Y,English,South Korea,,,13208249,,,FALSE,24-11-2024,FALSE
movie_0105,Adventure House,Movie,Animation,Adventure,1992,109,TV-MA,Korean,USA,6.3,1354517,3059547,,,TRUE,28-09-2023,FALSE
movie_0106,Dragon Night,Documentary,Animation,Family,1991,89,NC-17,Spanish,South Korea,7.3,,,,,FALSE,25-08-2020,TRUE
movie_0107,Love Kingdom,Documentary,Biography,,2014,87,TV-MA,English,UK,6.1,,,,,FALSE,02-03-2023,TRUE
movie_0108,First Phoenix,Movie,Fantasy,,2000,128,TV-G,Italian,USA,7.8,747506,151826737,,,FALSE,14-03-2021,TRUE
movie_0109,Family Story,Movie,War,,2023,119,PG-13,English,USA,6.5,2792744,194859508,,,FALSE,24-12-2022,FALSE
movie_0110,Queen Day,Movie,Comedy,Adventure,1998,122,NC-17,English,USA,5.5,3551286,,,,TRUE,03-06-2022,FALSE
movie_0111,Kingdom Mission,Movie,Sport,,1995,106,TV-Y7,English,USA,,770163,3222643,,,FALSE,12-03-2021,TRUE
movie_0112,King Princess,TV Series,Music,Biography,1991,69,R,English,USA,,,,2,103,TRUE,22-01-2022,FALSE
movie_0113,A Quest,Movie,History,,2022,110,PG-13,French,Germany,5.9,845349,4568753,,,FALSE,09-12-2020,TRUE
movie_0114,Journey King,TV Series,Animation,Mystery,2008,46,TV-PG,English,India,9.7,,,9,48,FALSE,24-10-2022,FALSE
movie_0115,War Dragon,Movie,Crime,,2021,69,NC-17,English,USA,6,18860431,57338013,,,TRUE,09-04-2021,FALSE
movie_0116,Secret Story,Documentary,Biography,Documentary,1990,134,TV-14,French,France,4.7,,,,,FALSE,27-02-2024,TRUE
movie_0117,Little Dragon,Movie,Family,,2013,109,R,English,USA,5.2,794995,24268353,,,TRUE,27-04-2022,TRUE
movie_0118,Hero Love,Documentary,Sport,,2014,96,TV-14,English,USA,,,,,,FALSE,14-07-2021,FALSE
movie_0119,Little Warrior,Documentary,Action,Adventure,2019,98,G,Hindi,South Korea,8.5,,,,,FALSE,26-07-2025,TRUE
movie_0120,Last Mission,Movie,Mystery,Comedy,2022,152,TV-Y,English,USA,5.2,,22144747,,,FALSE,21-04-2024,FALSE
movie_0121,Last Dream,Movie,Mystery,,2004,113,G,English,USA,6.1,1666756,,,,FALSE,09-09-2022,FALSE
movie_0122,Little Queen,Movie,History,,2019,125,TV-MA,English,USA,3.9,9321651,5551808,,,FALSE,01-08-2024,FALSE
movie_0123,Family Fire,Movie,Documentary,History,2008,109,R,English,USA,4.5,556402,8920240,,,TRUE,03-04-2023,FALSE
movie_0124,Bright House,TV Series,Comedy,,2003,38,TV-Y,English,USA,6.6,,,12,14,TRUE,14-01-2024,FALSE
movie_0125,Our Queen,Movie,Western,Music,2010,105,PG,English,Canada,5,16341730,39189864,,,TRUE,10-01-2022,FALSE
movie_0126,Journey Princess,Movie,Sci-Fi,Biography,2003,125,TV-MA,Spanish,USA,7.4,26713214,5582578,,,FALSE,29-12-2022,FALSE
movie_0127,Dragon Quest,Documentary,Music,Drama,2016,85,PG,English,USA,4.4,,,,,FALSE,22-12-2024,FALSE
movie_0128,A Quest,Limited Series,History,,2008,58,NC-17,English,Canada,4.9,,,2,153,FALSE,29-03-2022,FALSE
movie_0129,Mission Fire,Stand-up Comedy,Sci-Fi,Crime,2000,36,TV-Y7,English,USA,,,,,,TRUE,10-10-2023,FALSE
movie_0130,Last House,Movie,Action,,1990,36,NC-17,English,Japan,6.4,10949397,45443003,,,FALSE,19-11-2020,FALSE
movie_0131,Story Mystery,Movie,Sci-Fi,,2024,115,TV-Y7,English,USA,6.4,31998338,4303498,,,TRUE,25-04-2025,FALSE
movie_0132,Dragon War,Documentary,Comedy,,2022,95,TV-PG,Spanish,Japan,7.7,,,,,FALSE,12-01-2021,FALSE
movie_0133,Adventure Princess,Movie,Family,,1993,97,R,English,USA,7.8,9889659,36933865,,,FALSE,12-12-2021,FALSE
movie_0134,Story Night,Stand-up Comedy,Adventure,Animation,1999,52,PG,Spanish,France,7.3,,,,,FALSE,24-08-2023,FALSE
movie_0135,Princess House,Movie,Western,,2016,73,TV-G,Japanese,USA,5.3,,196392638,,,FALSE,10-08-2023,FALSE
movie_0136,First House,Documentary,Adventure,,2001,404,NC-17,English,Canada,1,,,,,FALSE,25-05-2023,FALSE
movie_0137,First Mission,Movie,History,,2023,106,TV-Y7,English,USA,7.6,992285,84883879,,,FALSE,26-12-2020,FALSE
movie_0138,Kingdom Fire,Movie,Biography,Comedy,2024,118,PG,English,Canada,5.6,2785266,20178073,,,FALSE,29-05-2023,FALSE
movie_0139,Last War,Limited Series,Mystery,,1993,23,TV-G,English,USA,4.4,,,2,102,FALSE,05-05-2024,FALSE
movie_0140,City Empire,Documentary,Sport,,2023,19,TV-14,English,France,5.6,,,,,FALSE,20-06-2025,FALSE
movie_0141,War Story,Movie,Action,Crime,1990,96,PG,Korean,Japan,3.9,,351613,,,FALSE,30-10-2024,TRUE
movie_0142,Battle Secret,Limited Series,Western,,2018,71,TV-Y7,English,UK,,,,14,169,FALSE,26-02-2021,TRUE
movie_0143,Adventure Fire,Movie,Biography,,2006,143,NC-17,German,Germany,5,792013,5298432,,,TRUE,28-12-2022,FALSE
movie_0144,Our Dream,TV Series,Comedy,,2013,37,TV-14,Korean,India,9.4,,,11,42,TRUE,07-12-2020,FALSE
movie_0145,Fire Empire,TV Series,Thriller,Sci-Fi,1990,40,G,English,UK,8.4,,,10,197,TRUE,09-03-2024,FALSE
movie_0146,Bright Love,Movie,War,,2014,79,PG-13,English,USA,4.4,,,,,FALSE,22-11-2024,FALSE
movie_0147,Dark Love,Documentary,Action,,1996,34,G,Japanese,UK,3.9,,,,,FALSE,11-02-2023,FALSE
movie_0148,War Storm,TV Series,Mystery,,1997,66,TV-Y7,Spanish,USA,8.9,,,1,101,TRUE,29-07-2022,FALSE
movie_0149,The Fire,Documentary,Action,,2000,364,TV-PG,Spanish,USA,3,,,,,FALSE,12-09-2023,FALSE
movie_0150,Story Fire,Movie,Adventure,Sport,2013,157,TV-14,English,Japan,8.1,28183154,26250908,,,FALSE,26-12-2022,TRUE
movie_0151,Night Love,Movie,Animation,,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,,,FALSE,11-12-2022,FALSE
movie_0152,Fire Quest,Movie,Documentary,Sport,1991,104,TV-MA,Hindi,USA,3.6,,,,,FALSE,13-10-2020,FALSE
movie_0153,Phoenix Dragon,Movie,Animation,,2007,148,NC-17,Spanish,USA,7.8,1445488,,,,TRUE,30-01-2024,FALSE
movie_0154,Bright Phoenix,TV Series,Sci-Fi,,1998,19,TV-Y,Italian,UK,5,,,14,187,TRUE,15-01-2024,FALSE
movie_0155,Dream Battle,Movie,Romance,,2005,140,TV-Y7,English,USA,6.5,,10889136,,,FALSE,01-07-2025,FALSE
movie_0156,An Ice,Movie,History,Thriller,2019,111,TV-14,English,France,6,19903417,10427828,,,TRUE,16-07-2023,FALSE
movie_0157,Last Ice,Documentary,Sport,,2001,77,R,German,USA,10,,,,,FALSE,15-02-2022,FALSE
movie_0158,Storm Princess,Documentary,War,,2019,110,R,English,USA,,,,,,FALSE,27-02-2022,TRUE
movie_0159,Battle Family,Movie,Drama,Mystery,2001,121,NC-17,Korean,India,7.7,6129856,6244192,,,FALSE,23-01-2023,FALSE
movie_0160,Love Journey,Movie,Comedy,,2016,10,R,Italian,Canada,6.6,9355608,738634327,,,FALSE,19-08-2023,FALSE
movie_0161,Our King,Movie,Western,,1993,97,TV-Y,English,Germany,6.5,3405303,894261,,,FALSE,20-02-2021,FALSE
movie_0162,Day Fire,TV Series,Animation,Sci-Fi,2005,40,TV-PG,Spanish,South Korea,5.8,,,5,111,FALSE,23-08-2021,FALSE
movie_0163,Bright War,Movie,Comedy,,2015,85,TV-PG,English,USA,5.7,503735,58761541,,,FALSE,10-01-2021,TRUE
movie_0164,Quest Ice,Movie,Romance,Western,1995,111,TV-14,English,USA,,2398917,35707634,,,FALSE,13-01-2021,FALSE
movie_0165,Bright Day,Movie,Action,Sci-Fi,2018,91,G,English,Germany,7.6,456624,82210,,,FALSE,21-11-2023,FALSE
movie_0166,Mystery Princess,TV Series,Western,,2012,66,TV-G,English,USA,3.3,,,10,54,TRUE,03-02-2024,FALSE
movie_0167,Battle Night,TV Series,Adventure,,2010,37,TV-MA,Italian,USA,,,,9,178,FALSE,26-06-2021,FALSE
movie_0168,Love Love,Movie,Crime,Mystery,1997,103,G,English,USA,6.9,5781768,,,,TRUE,13-02-2023,FALSE
movie_0169,Storm Day,TV Series,Western,,1998,53,TV-PG,English,Canada,6.9,,,13,81,FALSE,20-01-2025,FALSE
movie_0170,Phoenix Love,Movie,Horror,,1997,537,R,English,South Korea,6.1,431570,6675003,,,FALSE,10-03-2024,TRUE
movie_0171,Dream Warrior,Movie,Biography,,1994,110,TV-14,English,USA,1.4,3768477,11316045,,,FALSE,21-05-2021,FALSE
movie_0172,My Story,Movie,Horror,,1993,94,TV-Y,Spanish,USA,10,5064920,11553135,,,FALSE,10-09-2023,FALSE
movie_0173,Little Dragon,Stand-up Comedy,Sci-Fi,History,2002,58,TV-Y,Hindi,Canada,7.2,,,,,TRUE,04-02-2022,FALSE
movie_0174,City Battle,TV Series,Thriller,,2020,50,TV-Y7,Spanish,France,,,,7,78,FALSE,06-11-2023,FALSE
movie_0175,Fire Day,Movie,Fantasy,,2002,137,TV-G,German,USA,8.9,365831,,,,TRUE,13-07-2023,FALSE
movie_0176,Dream City,TV Series,Documentary,,2008,39,TV-Y7,French,USA,4.4,,,10,116,TRUE,02-09-2022,FALSE
movie_0177,Fire Princess,Movie,Drama,,2022,99,PG,Italian,USA,9.1,197326642,5829409,,,TRUE,21-09-2024,FALSE
movie_0178,Our Princess,TV Series,Animation,,2002,55,G,English,South Korea,5.6,,,,6,FALSE,30-11-2023,FALSE
movie_0179,Battle Empire,TV Series,Documentary,,2014,41,TV-PG,Spanish,UK,0.8,,,6,20,TRUE,30-03-2023,FALSE
movie_0180,Story Queen,TV Series,Action,,2010,26,G,English,USA,6.5,,,1,159,FALSE,18-11-2020,FALSE
movie_0181,Phoenix Hero,TV Series,Crime,,2020,43,G,English,UK,7.4,,,4,134,FALSE,22-09-2023,FALSE
movie_0182,Mystery Adventure,Movie,Thriller,,1990,125,TV-14,English,USA,5.7,5738797,1406285,,,FALSE,09-10-2024,FALSE
movie_0183,House Phoenix,TV Series,Music,Romance,1999,42,G,English,USA,,,,14,85,TRUE,04-05-2024,FALSE
movie_0184,Legend House,Documentary,Documentary,,2000,84,PG-13,English,USA,7.3,,,,,TRUE,26-06-2021,FALSE
movie_0185,King Ice,Documentary,History,,2020,83,TV-G,English,USA,7.4,,,,,FALSE,29-04-2023,FALSE
movie_0186,Old House,TV Series,Comedy,,1999,70,TV-G,English,USA,,,,9,151,FALSE,08-03-2024,TRUE
movie_0187,First Journey,Documentary,Crime,,2012,102,TV-Y,English,South Korea,8.2,,,,,FALSE,07-02-2024,FALSE
movie_0188,Our Hero,Movie,Comedy,,1998,111,TV-PG,English,USA,9.3,6199801,15193445,,,FALSE,12-09-2022,FALSE
movie_0189,Family Mission,Movie,Documentary,,1993,85,TV-MA,Japanese,USA,5.8,593000,99504513,,,FALSE,10-10-2020,FALSE
movie_0190,Princess Night,Documentary,Fantasy,,2010,94,TV-MA,English,USA,6,,,,,TRUE,19-11-2020,TRUE
movie_0191,War Kingdom,Stand-up Comedy,Adventure,,2006,36,G,English,USA,5.5,,,,,FALSE,12-07-2022,FALSE
movie_0192,Family Queen,Movie,Comedy,Horror,2021,127,PG,Korean,Canada,6.1,52114579,24037884,,,FALSE,10-09-2020,FALSE
movie_0193,Love Story,Movie,Animation,,2002,53,TV-MA,English,India,4.3,5819919,20052531,,,TRUE,24-01-2023,FALSE
movie_0194,The Phoenix,Movie,Western,,2016,153,PG,German,USA,5.9,7058434,11893984,,,FALSE,03-12-2022,FALSE
movie_0195,New Phoenix,Limited Series,Music,,1996,18,NC-17,Korean,Canada,6.4,,,6,151,FALSE,15-06-2022,FALSE
movie_0196,Legend Mission,Movie,Mystery,,2014,69,TV-Y,Korean,Japan,4.3,5542251,1949871,,,FALSE,21-10-2022,FALSE
movie_0197,Adventure War,Documentary,History,Biography,1998,78,TV-MA,French,South Korea,7.3,,,,,TRUE,04-10-2021,FALSE
movie_0198,Phoenix Family,TV Series,Sport,,2007,48,TV-PG,Hindi,USA,4.9,,,6,141,TRUE,02-01-2023,FALSE
movie_0199,A Love,TV Series,Music,,1992,23,TV-Y7,English,India,8.3,,,3,53,FALSE,30-08-2020,FALSE
movie_0200,Legend Secret,TV Series,Drama,,2002,10,NC-17,English,USA,4.6,,,14,79,FALSE,15-10-2024,FALSE
movie_0201,Secret Battle,Movie,Adventure,,2012,142,R,English,USA,5.6,573288,,,,FALSE,27-05-2022,TRUE
movie_0202,City Empire,Stand-up Comedy,Horror,Adventure,1961,47,TV-14,Spanish,France,6.1,,,,,FALSE,30-11-2020,FALSE
movie_0203,First Journey,Documentary,Action,Family,2008,87,TV-PG,English,Canada,,,,,,TRUE,19-01-2023,FALSE
movie_0204,My Quest,Movie,Action,,1998,100,TV-14,English,UK,5.3,1055495,1732903,,,FALSE,24-04-2023,TRUE
movie_0205,Adventure Legend,TV Series,Drama,Adventure,2021,73,R,Japanese,USA,6.5,,,2,109,FALSE,18-11-2020,FALSE
movie_0206,Big Dragon,TV Series,Romance,,2003,50,PG-13,English,Canada,6,,,9,97,FALSE,13-04-2023,FALSE
